timestamp,doc_id,stage,batch_uuid,pages,images_extracted,images_sent_to_batch,images_downloaded,images_filtered_in,images_filtered_out,images_integrated,duration_seconds,status,notes
2025-10-16T20:43:00.738296,doc_116874,conversion,,190,,,,,,,357.40,success,
2025-10-16T20:43:06.833678,doc_116877,conversion,,3,,,,,,,6.07,success,
2025-10-16T20:43:12.789215,doc_116881,conversion,,3,,,,,,,5.94,success,
2025-10-16T20:43:17.924638,doc_116882,conversion,,2,,,,,,,5.13,success,
2025-10-16T20:44:32.003615,doc_116891,conversion,,43,,,,,,,74.06,success,
2025-10-16T20:47:45.880031,doc_116892,conversion,,24,,,,,,,193.85,success,
2025-10-16T20:47:53.661967,doc_116906,conversion,,4,,,,,,,7.78,success,
2025-10-16T20:48:57.176755,doc_116909,conversion,,48,,,,,,,63.50,success,
2025-10-16T20:50:13.813665,doc_116918,conversion,,49,,,,,,,76.62,success,
2025-10-16T20:51:23.182554,doc_116920,conversion,,49,,,,,,,69.35,success,
2025-10-16T20:51:30.991054,doc_116934,conversion,,4,,,,,,,7.80,success,
2025-10-16T20:59:48.989657,doc_116935,conversion,,256,,,,,,,476.94,success,
2025-10-16T21:00:08.198466,doc_116941,conversion,,12,,,,,,,19.16,success,
2025-10-16T21:02:50.144379,doc_116942,conversion,,127,,,,,,,161.91,success,
2025-10-16T21:03:12.394924,doc_116944,conversion,,9,,,,,,,22.22,success,
2025-10-16T21:03:30.937950,doc_116949,conversion,,8,,,,,,,18.52,success,
2025-10-16T21:05:22.172365,doc_116951,conversion,,79,,,,,,,111.21,success,
2025-10-16T21:05:39.480307,doc_116954,conversion,,9,,,,,,,17.29,success,
2025-10-16T21:05:57.491705,doc_116955,conversion,,9,,,,,,,18.00,success,
2025-10-16T21:06:35.411720,doc_116958,conversion,,17,,,,,,,37.91,success,
2025-10-16T21:09:25.334848,doc_116962,conversion,,90,,,,,,,169.88,success,
2025-10-16T21:09:36.286779,doc_116963,conversion,,3,,,,,,,10.93,success,
2025-10-16T21:10:16.002513,doc_116965,conversion,,18,,,,,,,39.71,success,
2025-10-16T21:10:55.253365,doc_116966,conversion,,17,,,,,,,39.24,success,
2025-10-16T21:13:21.375209,doc_116976,conversion,,81,,,,,,,146.08,success,
2025-10-16T21:17:25.504630,doc_116982,conversion,,132,,,,,,,244.07,success,
2025-10-16T21:21:02.287877,doc_116984,conversion,,126,,,,,,,216.72,success,
2025-10-16T21:21:38.804386,doc_116987,conversion,,16,,,,,,,36.48,success,
2025-10-16T21:33:07.820586,doc_116998,conversion,,320,,,,,,,683.36,success,
2025-10-16T21:34:10.947990,doc_117001,conversion,,44,,,,,,,63.07,success,
2025-10-16T21:44:15.702686,doc_117003,conversion,,426,,,,,,,602.82,success,
2025-10-16T21:45:13.687949,doc_117010,conversion,,40,,,,,,,57.91,success,
2025-10-16T21:46:14.477322,doc_117016,conversion,,41,,,,,,,60.70,success,
2025-10-16T21:46:20.291476,doc_117021,conversion,,3,,,,,,,5.81,success,
2025-10-16T21:47:15.188079,doc_117022,conversion,,41,,,,,,,54.81,success,
2025-10-16T21:48:18.854263,doc_117029,conversion,,46,,,,,,,63.57,success,
2025-10-16T21:49:19.663457,doc_117031,conversion,,42,,,,,,,60.71,success,
2025-10-16T21:50:20.356330,doc_117034,conversion,,41,,,,,,,60.60,success,
2025-10-16T21:52:04.310693,doc_117041,conversion,,70,,,,,,,103.92,success,
2025-10-16T21:52:20.542509,doc_117042,conversion,,3,,,,,,,16.22,success,
2025-10-16T21:52:33.572254,doc_117048,conversion,,3,,,,,,,13.02,success,
2025-10-16T21:54:12.374742,doc_117049,conversion,,65,,,,,,,98.77,success,
2025-10-16T21:55:23.316945,doc_117050,conversion,,35,,,,,,,70.92,success,
2025-10-16T22:02:24.902555,doc_117055,conversion,,224,,,,,,,413.57,success,
